idx,Category,Variable,Unit,Definition,Tier,Report when,Report for,,Note,,
126,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC32,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC32,3,Non-idealised,Each ensemble member,,,,
127,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC365mfc,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC365mfc,3,Non-idealised,Each ensemble member,,,,
128,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|HFC|HFC4310mee,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HFC43-10mee,3,Non-idealised,Each ensemble member,,,,
129,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|NF3,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of nitrogen trifluoride (NF3),2,Non-idealised,Each ensemble member,,,,
130,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC,W/m^2,"effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of perfluorocarbons (PFCs, as defined by Table 8.A.1 of AR5)",2,Non-idealised,Each ensemble member,,,,
131,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C2F6,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C2F6,3,Non-idealised,Each ensemble member,,,,
132,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C3F8,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C3F8,3,Non-idealised,Each ensemble member,,,,
133,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C4F10,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C4F10,3,Non-idealised,Each ensemble member,,,,
134,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C5F12,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C5F12,3,Non-idealised,Each ensemble member,,,,
135,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C6F14,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C6F14,3,Non-idealised,Each ensemble member,,,,
136,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C7F16,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C7F16,3,Non-idealised,Each ensemble member,,,,
137,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|C8F18,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of C8F18,3,Non-idealised,Each ensemble member,,,,
138,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|cC4F8,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of c-C4F8,3,Non-idealised,Each ensemble member,,,,
139,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|PFC|CF4,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CF4,3,Non-idealised,Each ensemble member,,,,
140,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|SF6,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of sulfur hexafluoride (SF6),2,Non-idealised,Each ensemble member,,,,
141,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|F-Gases|SO2F2,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of sulfuryl fluoride (SO2F2),2,Non-idealised,Each ensemble member,,,,
142,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Montreal gases,1,Non-idealised,Each ensemble member,,,,
143,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CCl4,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CCl4,3,Non-idealised,Each ensemble member,,,,
144,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC gases (as defined by Table 8.A.1 of AR5),3,Non-idealised,Each ensemble member,,,,
145,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC11,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC11,3,Non-idealised,Each ensemble member,,,,
146,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC113,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC113,3,Non-idealised,Each ensemble member,,,,
147,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC114,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC114,3,Non-idealised,Each ensemble member,,,,
148,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC115,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC115,3,Non-idealised,Each ensemble member,,,,
149,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CFC|CFC12,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CFC12,3,Non-idealised,Each ensemble member,,,,
150,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH2Cl2,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH2Cl2,3,Non-idealised,Each ensemble member,,,,
151,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH3Br,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH3Br,3,Non-idealised,Each ensemble member,,,,
152,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH3CCl3,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH3CCl3,3,Non-idealised,Each ensemble member,,,,
153,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CH3Cl,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CH3Cl,3,Non-idealised,Each ensemble member,,,,
154,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|CHCl3,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of CHCl3,3,Non-idealised,Each ensemble member,,,,
155,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon1202,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-1202,3,Non-idealised,Each ensemble member,,,,
156,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon1211,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-1211,3,Non-idealised,Each ensemble member,,,,
157,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon1301,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-1301,3,Non-idealised,Each ensemble member,,,,
158,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|Halon2402,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of Halon-2402,3,Non-idealised,Each ensemble member,,,,
159,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|HCFC141b,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HCFC141b,3,Non-idealised,Each ensemble member,,,,
160,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|HCFC142b,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HCFC22,3,Non-idealised,Each ensemble member,,,,
161,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Montreal Gases|HCFC22,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of HCFC22,3,Non-idealised,Each ensemble member,,,,
162,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|N2O,W/m^2,effective radiative forcing (after stratospheric temperature adjustments and rapid adjustments) of N2O,1,Non-idealised,Each ensemble member,,,,
163,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Other,W/m^2,effective radiative forcing from factors not covered in other categories (after stratospheric temperature adjustments and rapid adjustments) ,1,Non-idealised,Each ensemble member,,,,
164,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Other|BC on Snow,W/m^2,effective radiative forcing from black carbon on snow (after stratospheric temperature adjustments and rapid adjustments) ,2,Non-idealised,Each ensemble member,,,,
165,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Other|Contrails and Contrail-induced Cirrus,W/m^2,effective radiative forcing from contrails and contrail-induced cirrus (after stratospheric temperature adjustments and rapid adjustments) ,2,Non-idealised,Each ensemble member,,,,
166,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Other|Other WMGHGs,W/m^2,effective radiative forcing from WMGHG not covered in other categories (after stratospheric temperature adjustments and rapid adjustments) ,2,Non-idealised,Each ensemble member,,,,
167,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Other|Stratospheric H2O,W/m^2,effective radiative forcing from stratospheric H2O changes (after stratospheric temperature adjustments and rapid adjustments) ,2,Non-idealised,Each ensemble member,,,,
168,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Stratospheric Ozone,W/m^2,effective radiative forcing from stratospheric ozone (after stratospheric temperature adjustments and rapid adjustments) ,1,Non-idealised,Each ensemble member,,,,
169,Effective Radiative Forcing,Effective Radiative Forcing|Anthropogenic|Tropospheric Ozone,W/m^2,effective radiative forcing from tropospheric ozone (after stratospheric temperature adjustments and rapid adjustments) ,1,Non-idealised,Each ensemble member,,,,
170,Effective Radiative Forcing,Effective Radiative Forcing|Natural,W/m^2,"effective radiative forcing from all natural drivers, i.e. solar and volcanic forcing (after stratospheric temperature adjustments and rapid adjustments) ",1,If different from prescribed,Each scenario,,,,
171,Effective Radiative Forcing,Effective Radiative Forcing|Natural|Solar,W/m^2,effective radiative forcing from variations in solar irradience (after stratospheric temperature adjustments and rapid adjustments) ,1,If different from prescribed,Each scenario,,,,
172,Effective Radiative Forcing,Effective Radiative Forcing|Natural|Volcanic,W/m^2,effective radiative forcing due to volcanic eruptions (after stratospheric temperature adjustments and rapid adjustments) ,1,If different from prescribed,Each scenario,,,,
173,Emissions,Emissions|BC,Mt BC/yr,"Total emissions of black carbon from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if different from prescribed or different from prescribed.,Each scenario,,,,
174,Methane Cycle,Net Flux to Atmosphere|CH4,Mt CH4/yr,"Total flux of CH4 from the surface to the atmosphere due to any process. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss. This should be the sum of the ""Emissions|CH4"" and ""Natural Fluxes|CH4"" quantities.",1,Non-idealised,Each ensemble member,,,,
175,Methane Cycle,Emissions|CH4,Mt CH4/yr,"Total flux of CH4 from the surface due to any process of anthropogenic origin. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss.  This should be the sum of the ""Emissions|CH4|Biomass Burning"", ""Emissions|CH4|Fossil and Industry"", and ""Emissions|CH4|Other"" quantities.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
176,Methane Cycle,Emissions|CH4|Biomass Burning,Mt CH4/yr,"Total flux of CH4 from the surface to the atmosphere due to biomass burning. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss. ",3,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
177,Methane Cycle,"Emissions|CH4|Fossil, Industry and AFOLU",Mt CH4/yr,"Total flux of CH4 from the surface to the atmosphere due to fossil fuel burning, industry, and Agriculture, Forestry and other land use (AFOLU) processes. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss. ",3,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
178,Methane Cycle,Emissions|CH4|Other,Mt CH4/yr,"Total flux of CH4 from the surface to the atmosphere due to any process of anthropogenic origin that is not included in ""Fossil, Industry and AFOLU"" and ""Biomass Burning"" categories. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss. ",3,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
179,Methane Cycle,Natural Fluxes|CH4,Mt CH4/yr,"Total flux of CH4 from the surface to the atmosphere due to any natural processes. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss.  This should be the sum of the ""Natural Fluxes|CH4|Emissions"", minus ""Natural Fluxes|CH4|Sink"" and ""Natural Fluxes|CH4|Other""quantities.",2,Non-idealised,Each ensemble member,,,,
180,Methane Cycle,Natural Fluxes|CH4|Emissions,Mt CH4/yr,"Natural emissions of CH4 due to any natural processes. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss. This should be the sum of the ""Natural Fluxes|CH4|Emissions|Other"", ""Natural Fluxes|CH4|Emissions|Permafrost"" and ""Natural Fluxes|CH4|Emissions|Wetland"" quantities.",2,Non-idealised,Each ensemble member,,,,
181,Methane Cycle,Natural Fluxes|CH4|Emissions|Other,Mt CH4/yr,"Natural emissions of CH4 due to any processes not included in ""Permafrost"" and ""Wetland"" categories. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss.",3,Non-idealised,Each ensemble member,,,,
182,Methane Cycle,Natural Fluxes|CH4|Emissions|Permafrost,Mt CH4/yr,"Natural emissions of CH4 due to permafrost thawing. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss.",3,Non-idealised,Each ensemble member,,,,
183,Methane Cycle,Natural Fluxes|CH4|Emissions|Wetland,Mt CH4/yr,"Natural emissions of CH4 associated to wetlands. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss.",3,Non-idealised,Each ensemble member,,,,
184,Methane Cycle,Natural Fluxes|CH4|Other,Mt CH4/yr,"Natural flux of CH4 not covered in any other natural category. A positive value indicates release of CH4 to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised,Each ensemble member,,,,
185,Methane Cycle,Natural Fluxes|CH4|Sink,Mt CH4/yr,"CH4 flux associated with any natural sink. A positive value indicates uptake of CH4 to the sink/CH4 atmospheric loss, and a negative value indicates a net atmosphere gain. This should be the sum of the ""Natural Fluxes|CH4|Sink|Other"", ""Natural Fluxes|CH4|Sink|Soil"", ""Natural Fluxes|CH4|Sink|Stratosphere"", and ""Natural Fluxes|CH4|Sink|Troposphere"" quantities.",2,Non-idealised,Each ensemble member,,,,
186,Methane Cycle,Natural Fluxes|CH4|Sink|Other,Mt CH4/yr,"CH4 flux associated with any processes not included in ""Troposphere"", ""Stratosphere"", and ""Soil"" categories. A positive value indicates uptake of CH4 to the sink/net atmospheric loss, and a negative value indicates a net atmosphere gain.",3,Non-idealised,Each ensemble member,,,,
187,Methane Cycle,Natural Fluxes|CH4|Sink|Soil,Mt CH4/yr,"CH4 flux associated with soil uptake. A positive value indicates uptake of CH4 to the sink, and a negative value indicates a net atmosphere gain.",3,Non-idealised,Each ensemble member,,,,
188,Methane Cycle,Natural Fluxes|CH4|Sink|Stratosphere,Mt CH4/yr,"CH4 flux associated with stratosphere oxidation. A positive value indicates CH4 atmospheric loss, and a negative value indicates a net atmosphere gain.",3,Non-idealised,Each ensemble member,,,,
189,Methane Cycle,Natural Fluxes|CH4|Sink|Troposphere,Mt CH4/yr,"CH4 flux associated with troposphere oxidation. A positive value indicates a net CH4 atmospheric loss, and a negative value indicates a net atmosphere gain.",3,Non-idealised,Each ensemble member,,,,
190,Emissions,Emissions|CO,Mt CO/yr,"Total emissions of CO from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
191,Carbon Cycle,Net Flux to Atmosphere|CO2,Mt CO2/yr,"Total flux of CO2 from the surface to the atmosphere due to any process. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. This should be the sum of the ""Emissions|CO2"" and ""Natural Fluxes|CO2"" quantities.",1,Always,Each ensemble member,,,,
192,Carbon Cycle,Emissions|CO2,Mt CO2/yr,"Total flux of CO2 from the surface to the atmosphere due to any process of anthropogenic origin. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. This should be the sum of the ""Emissions|CO2|Fossil and Industry"",   ""Emissions|CO2|Land Use Change"", and   ""Emissions|CO2|Other"" quantities.",2,If concentrations-driven or different from prescribed.,Each scenario,,,,
193,Carbon Cycle,Emissions|CO2|Fossil and Industry,Mt CO2/yr,"Total flux of CO2 from the surface to the atmosphere due to fossil fuel and industry use. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. ",3,If concentrations-driven or different from prescribed.,Each scenario,,,,
194,Carbon Cycle,Emissions|CO2|Land Use Change,Mt CO2/yr,"Total flux of CO2 from the surface due to changes in land use and cover. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. ",3,If concentrations-driven or different from prescribed.,Each scenario,,,,
195,Carbon Cycle,Emissions|CO2|Other,Mt CO2/yr,"Total flux of CO2 from the surface to the atmosphere due to any process of anthropogenic origin that is not included in ""Emissions|CO2|Fossil and Industry"" and ""Emissions|CO2|Land Use Change"" categories. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. ",2,If concentrations-driven or different from prescribed.,Each scenario,,,,
196,Carbon Cycle,Natural Fluxes|CO2,Mt CO2/yr,"Total flux of CO2 from the surface to the atmosphere due to any natural processes. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss.  This should be the sum of the ""Natural Fluxes|CO2|Land"", ""Natural Fluxes|CO2|Ocean"" and """"Natural Fluxes|CO2|Other"" quantities.",1,Always,Each ensemble member,,,,
197,Carbon Cycle,Natural Fluxes|CO2|Land,Mt CO2/yr,"Total flux of CO2 from land to the atmosphere due to any natural processes. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. Notice that the only component of ""Natural Fluxes|CO2|Land"" requested to be independetely reported is ""Natural Fluxes|CO2|Land|Permafrost"", but we make no prescription of how other carbon cycle fluxes should be aggregated to form this quantity.",2,Always,Each ensemble member,,,,
198,Carbon Cycle,Natural Fluxes|CO2|Land|Permafrost,Mt CO2/yr,"Total flux of CO2 from land to the atmosphere due to permafrost thawing. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. Notice that this is the only component of ""Natural Fluxes|CO2|Land"" requested to be independetely reported, but we make no prescription of how other carbon cycle fluxes should be aggregated to form that quantity. Notice as well that this is is a CO2 flux, not a carbon flux, so fluxes of carbon in other chemical configurations (methane) should not be included here.",3,Always,Each ensemble member,,,,
199,Carbon Cycle,Natural Fluxes|CO2|Ocean,Mt CO2/yr,"Total flux of CO2 from ocean to the atmosphere due to any natural processes. A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Always,Each ensemble member,,,,
200,Carbon Cycle,Natural Fluxes|CO2|Other,Mt CO2/yr,"Total flux of CO2 to the atmosphere due to any natural processes that has not been reported as part of ""Natural Fluxes|CO2|Land"" and  ""Natural Fluxes|CO2|Ocean"". A positive value indicates release of CO2 to the atmosphere, and a negative value indicates a net atmosphere loss. Please provide a definition of other sources in this category in the 'comments' tab.",2,Always,Each ensemble member,,,,
201,Emissions,Emissions|F-Gases|HFC|HFC125,kt HFC125/yr,"Total emissions of HFC125 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
202,Emissions,Emissions|F-Gases|HFC|HFC134a,kt HFC134a/yr,"Total emissions of HFC134a from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
203,Emissions,Emissions|F-Gases|HFC|HFC143a,kt HFC143a/yr,"Total emissions of HFC143a from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
204,Emissions,Emissions|F-Gases|HFC|HFC152a,kt HFC152a/yr,"Total emissions of HFC152a from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
205,Emissions,Emissions|F-Gases|HFC|HFC227ea,kt HFC227ea/yr,"Total emissions of HFC227ea from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
206,Emissions,Emissions|F-Gases|HFC|HFC23,kt HFC23/yr,"Total emissions of HFC23 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
207,Emissions,Emissions|F-Gases|HFC|HFC236fa,kt HFC236fa/yr,"Total emissions of HFC236fa from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
208,Emissions,Emissions|F-Gases|HFC|HFC245fa,kt HFC245fa/yr,"Total emissions of HFC245fa from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
209,Emissions,Emissions|F-Gases|HFC|HFC32,kt HFC32/yr,"Total emissions of HFC32 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
210,Emissions,Emissions|F-Gases|HFC|HFC365mfc,kt HFC365mfc/yr,"Total emissions of HFC365mfc from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
211,Emissions,Emissions|F-Gases|HFC|HFC4310mee,kt HFC4310mee/yr,"Total emissions of HFC4310mee from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
212,Emissions,Emissions|F-Gases|NF3,kt NF3/yr,"Total emissions of NF3 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
213,Emissions,Emissions|F-Gases|PFC|C2F6,kt C2F6/yr,"Total emissions of C2F6 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
214,Emissions,Emissions|F-Gases|PFC|C3F8,kt C3F8/yr,"Total emissions of C3F8 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
215,Emissions,Emissions|F-Gases|PFC|C4F10,kt C4F10/yr,"Total emissions of C4F10 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
216,Emissions,Emissions|F-Gases|PFC|C5F12,kt C5F12/yr,"Total emissions of C5F12 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
217,Emissions,Emissions|F-Gases|PFC|C6F14,kt C6F14/yr,"Total emissions of C6F14 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
218,Emissions,Emissions|F-Gases|PFC|C7F16,kt C7F16/yr,"Total emissions of C7F16 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
219,Emissions,Emissions|F-Gases|PFC|C8F18,kt C8F18/yr,"Total emissions of C8F18 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
220,Emissions,Emissions|F-Gases|PFC|cC4F8,kt cC4F8/yr,"Total emissions of cC4F8 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
221,Emissions,Emissions|F-Gases|PFC|CF4,kt CF4/yr,"Total emissions of CF4 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
222,Emissions,Emissions|F-Gases|SF6,kt SF6/yr,"Total emissions of SF6 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
223,Emissions,Emissions|F-Gases|SO2F2,kt SO2F2/yr,"Total emissions of SO2F2 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
224,Emissions,Emissions|Montreal Gases|CCl4,kt CCl4/yr,"Total emissions of CCl4 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
225,Emissions,Emissions|Montreal Gases|CFC|CFC11,kt CFC11/yr,"Total emissions of CFC11 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
226,Emissions,Emissions|Montreal Gases|CFC|CFC113,kt CFC113/yr,"Total emissions of CFC113 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
227,Emissions,Emissions|Montreal Gases|CFC|CFC114,kt CFC114/yr,"Total emissions of CFC114 from the surface to the atmosphere due to any process as seen by the model. A positive value indicates release of to the atmosphere, and a negative value indicates a net atmosphere loss.",2,Non-idealised and if concentrations-driven or different from prescribed.,Each scenario,,,,
